Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
,,,,,Recursive function theory,Recursive function theory,"Students will gain the ability to understand and analyze recursive functions, which are essential in computation.","6.5400[J] Theory of Computation
",1.0,Fall 2023
,,,,,Concept of interactive proofs and probabilistically checkable proofs,Interactive proof systems,"Students will develop the skill of designing and analyzing interactive proof systems, which are used to verify the correctness of computations.","6.5400[J] Theory of Computation
",1.0,Fall 2023
,,,,,Concept of interactive proofs and probabilistically checkable proofs,Probabilistic proofs,"Students will learn how to construct and analyze probabilistic proofs, which involve using randomness to prove the correctness of algorithms or mathematical statements.","6.5420 Randomness and Computation
",1.0,Fall 2023
,,,,,Concept of interactive proofs and probabilistically checkable proofs,Interactive proof systems,Students will gain proficiency in understanding and working with interactive proof systems in the context of quantum computing.,"6.5430 Quantum Complexity Theory
",1.0,Fall 2023
,,,,,Concept of interactive proofs and probabilistically checkable proofs,Zero-knowledge proofs,"Students will learn how to construct and verify zero-knowledge proofs, which allow one party to prove knowledge of a secret without revealing the secret itself.","6.5610 Applied Cryptography and Security
",1.0,Fall 2023
,,,,,Uniform generation and approximate counting,Uniform generation and approximate counting,Students will gain proficiency in generating random samples from a given distribution and estimating the size of a set or the probability of an event using random sampling techniques.,"6.5420 Randomness and Computation
",1.0,Fall 2023
,,,,,Testing Boolean functions,Fourier analysis of Boolean functions,"Students will learn how to analyze Boolean functions using Fourier analysis, which involves decomposing a function into a sum of simpler functions and studying their properties.","6.5420 Randomness and Computation
",1.0,Fall 2023
,,,,,Pseudorandom generators,Pseudorandom generators,"Students will learn about pseudorandom generators, which are algorithms that generate sequences of numbers that appear random but are actually deterministic.","6.5420 Randomness and Computation
",1.0,Fall 2023
,,,,,Proofs and advice,Proofs and advice,Students will learn how to construct and analyze proofs and advice in the quantum world.,"6.5430 Quantum Complexity Theory
",1.0,Fall 2023
,,,,,Message authentication codes,Message authentication codes,Students will learn how to use message authentication codes to ensure the integrity and authenticity of messages.,"6.5610 Applied Cryptography and Security
",1.0,Fall 2023
,,,,,Fully homomorphic encryption,Fully homomorphic encryption,"Students will develop the skill of implementing fully homomorphic encryption, which allows computations to be performed on encrypted data without decrypting it.","6.5610 Applied Cryptography and Security
",1.0,Fall 2023
,,,,,Online learning,Electronic voting,"Students will acquire the skill of designing secure electronic voting systems, considering the challenges and cryptographic techniques involved.","6.5610 Applied Cryptography and Security
",1.0,Fall 2023
,,,,,Advanced operating system topics,Operating system security,Students will gain proficiency in understanding and implementing security measures in operating systems.,"6.5660 Computer Systems Security
",1.0,Fall 2023
,,,,,Advanced operating system topics,Extending operating systems,"Students will learn how to extend the functionality of an operating system, such as adding support for advanced virtual memory features and networking.","6.1810 Operating System Engineering
",1.0,Fall 2023
,,,,,Programming in RISC-V,Programming in RISC-V,"Students will gain proficiency in programming in the RISC-V instruction set architecture, which is used in the xv6 operating system.","6.1810 Operating System Engineering
",1.0,Fall 2023
,,,,,Sensor programming,Sensor programming,Students will learn how to program and manipulate sensors in IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
,,,,,Sensor programming,Motion sensor programming,Students will develop the skill of programming motion sensors for interactive music systems.,"6.4550[J] Interactive Music Systems
",1.0,Fall 2023
,,,,,Sensor programming,Sensor design,Students will develop skills in designing sensors for medical devices.,"6.4860[J] Medical Device Design
",1.0,Fall 2023
,,,,,Sensor programming,Sensor design,Students will acquire knowledge and skills in designing sensors for medical devices.,"6.4861[J] Medical Device Design
",1.0,Fall 2023
,,,,,Ethical Considerations,Ethical decision-making,Students will learn how to assess design decisions within an ethical framework and consider the impact of their decisions on non-users. This skill is important as it helps students make responsible choices in the field of computer systems.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
,,,,,Risk assessment,Design assessment,Students will gain the skill of assessing design decisions in computer systems. This skill is crucial in evaluating the effectiveness and efficiency of different design choices.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
,,,,,Hierarchical design implications,Hierarchical design implications,"Students will learn about the implications of hierarchical designs, such as DNS, for scale. This skill enables them to understand the impact of design decisions on the scalability of computer systems.","6.1850 Computer Systems and Society
",1.0,Fall 2023
,,,,,Layered models understanding,Layered models understanding,Students will develop the skill of understanding how layered models influence the actions that different parts of a network can take. This skill helps them comprehend the functioning of complex network systems.,"6.1850 Computer Systems and Society
",1.0,Fall 2023
,,,,,System call implementation,System call implementation,"Students will learn how to implement system calls, which are essential for interacting with the operating system.","6.5810 Operating System Engineering
",1.0,Fall 2023
,,,,,Router design,Router design,"Students will gain proficiency in designing routers, which are essential components of computer networks.","6.5820 Computer Networks
",1.0,Fall 2023
,,,,,Congestion control,Congestion control,Students will learn techniques for managing network congestion to ensure smooth data flow.,"6.5820 Computer Networks
",1.0,Fall 2023
,,,,,Remote procedure call (RPC),Remote procedure call (RPC),Students will learn how to implement and use remote procedure call in distributed systems.,"6.5840 Distributed Computer Systems Engineering
",1.0,Fall 2023
,,,,,Thread and locking,Thread and locking,Students will gain proficiency in handling threads and implementing locking mechanisms in distributed systems.,"6.5840 Distributed Computer Systems Engineering
",1.0,Fall 2023
,,,,,Fault tolerance,Fault tolerance,Students will develop skills in designing and implementing fault-tolerant distributed systems to ensure system reliability and availability.,"6.5840 Distributed Computer Systems Engineering
",1.0,Fall 2023
,,,,,Specification and verification,Specification and verification,"Students will learn how to specify and verify the correctness of computer systems, which involves quantifiable techniques for ensuring the accuracy and reliability of software and hardware components.","6.5850 Principles of Computer Systems
",1.0,Fall 2023
,,,,,Biological research techniques,Replication techniques,"Students will learn about techniques for replicating data and resources in distributed systems, ensuring fault tolerance and high availability.","6.5850 Principles of Computer Systems
",1.0,Fall 2023
